id,nom,quantite,prix
1,Frais Huile d'olive,60,79.16
2,Orange,10,44.34
3,Premium Farine Pack de 6,5,94.22
4,Bio Haricots Pack de 4,20,60.38
5,Grand Chips Pack de 1,83,74.59
6,Frais Poulet,27,97.59
7,Petit Jus,59,55.9
8,Premium Huile d'olive,12,81.55
9,Bio Chocolat,49,80.88
10,Boeuf,83,14.4
11,Lot Lessive Pack de 1,86,99.42
12,Lot Pizza,74,53.48
13,Grand Crevettes,43,76.41
14,Petit Tomate,60,1.72
15,Beurre,32,75.12
16,Frais Glace,8,51.43
17,Frais Biscuits,76,6.48
18,Grand Shampooing,58,98.15
19,Frais Yaourt,43,14.36
20,Frais Pain,30,37.58
21,Oeufs Pack de 12,97,32.75
22,Javel,2,88.67
23,Petit Tomate,6,73.65
24,Petit Cereales Pack de 2,77,68.46
25,Premium Masque Pack de 1,9,58.49
26,Frais Beurre Pack de 6,55,52.51
27,Bio Cafe,73,25.43
28,Frais Biscuits Pack de 12,61,90.25
29,Bio Jus Pack de 10,17,27.98
30,Lot Pain Pack de 6,38,31.06
31,Grand Tomate,20,83.9
32,Lot Pain,34,25.26
33,Premium Poivron Pack de 6,85,37.78
34,Premium Desinfectant,2,3.59
35,Premium Poisson Pack de 1,34,28.0
36,Premium Tomate,15,46.55
37,Bio Haricots,41,22.7
38,Grand Poulet,37,98.3
39,Grand Lait,20,82.52
40,Bio Chocolat,59,38.86
41,Frais Oignon,89,55.11
42,Petit Savon,54,20.74
43,Premium Tomates en boite,39,21.96
44,Huile d'olive,95,93.52
45,Cafe,81,92.79
46,Grand Dentifrice,93,97.09
47,Lot Vinaigre,93,55.33
48,Crevettes Pack de 12,84,73.8
49,Grand Banane,63,24.29
50,Grand Lessive,23,73.56
51,Petit Banane,12,52.22
52,Lot Boeuf,19,6.86
53,Bio Boeuf Pack de 2,39,94.96
54,Grand Masque,43,77.89
55,Bio Pomme,33,37.22
56,Bio Oeufs Pack de 4,31,71.84
57,Petit Nettoyant,51,84.95
58,Grand Lessive,57,49.56
59,Grand Essuie tout,73,59.38
60,Petit Cafe,49,31.34
61,Lot Pomme,57,24.84
62,Boeuf Pack de 6,19,23.1
63,Frais Tomate Pack de 2,8,1.66
64,Laitue,55,75.66
65,Premium Pizza,10,96.51
66,Bio Chips,49,32.11
67,Lot Crevettes,95,59.69
68,Bio Crevettes,61,34.18
69,Petit Oeufs,57,31.1
70,Frais Tomates en boite,97,78.26
71,Bio Riz,63,2.54
72,Premium Orange Pack de 10,31,76.89
73,Bio Javel,9,8.28
74,Grand Desinfectant Pack de 10,76,76.92
75,Glace,78,36.72
76,Petit Biscuits,32,73.88
77,Premium Brocoli Pack de 1,100,22.08
78,Petit Farine,31,91.61
79,Poulet,12,72.87
80,Petit Pizza,54,78.62
81,Tomates en boite Pack de 10,37,27.66
82,Grand Desinfectant,84,54.76
83,Lot Orange Pack de 6,33,51.22
84,Tomates en boite,40,1.57
85,Grand Poivre,12,84.32
86,Lot Huile d'olive,76,46.46
87,Frais Sucre Pack de 1,64,96.49
88,Frais Pain,67,10.96
89,Petit Carotte,74,56.32
90,Premium Banane Pack de 1,32,21.02
91,Premium Shampooing,70,10.18
92,Boeuf,89,28.66
93,Premium Pates,18,10.89
94,Frais Cereales Pack de 10,71,77.59
95,Frais Pizza,76,1.69
96,Orange Pack de 4,16,67.31
97,Premium Pain,37,66.69
98,Premium Concombre Pack de 4,35,85.54
99,Premium Pizza Pack de 4,35,19.26
100,Frais Poisson Pack de 10,55,21.98
101,Pain,33,10.71
102,Petit Tomates en boite,35,70.96
103,Lot Fromage,76,22.57
104,Premium Tomates en boite,93,57.55
105,Petit Chips,46,42.34
106,Bio Javel Pack de 6,91,56.58
107,Frais Oeufs,1,2.34
108,Lot Farine,100,51.45
109,Frais Pain Pack de 1,49,15.41
110,Petit Yaourt Pack de 6,12,53.58
111,Cafe,12,13.5
112,Bio Farine Pack de 2,72,81.07
113,Grand Boeuf Pack de 10,45,19.28
114,Frais Yaourt,69,30.17
115,Bio Jus,9,62.46
116,Frais Desinfectant,69,22.13
117,Premium Poivre,14,57.13
118,Frais Tomates en boite,38,68.99
119,Lot Nettoyant,23,57.05
120,Petit Chips,71,45.03
121,Petit Poivre,79,58.65
122,Poivron,68,79.87
123,Petit Nettoyant,88,43.13
124,Bio Javel,38,14.33
125,Bio Laitue,52,23.85
126,Fromage Pack de 6,68,22.9
127,Frais Pates,4,81.79
128,Petit Masque Pack de 10,32,75.14
129,Lot Savon,77,77.43
130,Petit Yaourt,7,87.27
131,Grand Desinfectant,4,34.21
132,Tomate,87,93.73
133,Grand Concombre Pack de 1,7,54.74
134,Petit Pomme Pack de 6,33,50.68
135,Banane Pack de 2,100,76.43
136,Lot Brocoli,44,34.39
137,Bio Pain,74,96.66
138,Lot Fromage Pack de 6,10,69.3
139,Concombre,82,8.69
140,Petit Pates Pack de 1,15,52.8
141,Premium Pizza Pack de 6,77,95.45
142,Petit Concombre,67,70.39
143,Lot Sucre,36,31.84
144,Premium Haricots Pack de 10,56,55.62
145,Frais Orange,96,71.7
146,Lot Shampooing Pack de 4,42,63.14
147,Bio Carotte,15,78.2
148,Bio Essuie tout,26,46.55
149,Lot Brocoli,66,10.83
150,Grand Lessive,46,64.08
151,Bio Carotte,18,87.47
152,Lot Oeufs,53,48.39
153,Premium Haricots,88,40.1
154,Lot Liquide vaisselle Pack de 12,75,87.94
155,Beurre,18,3.17
156,Lot Oignon,49,41.49
157,Grand Beurre,60,67.46
158,Masque,29,23.57
159,Petit Carotte Pack de 12,23,46.87
160,Bio Cafe Pack de 1,6,78.17
161,Premium Beurre,22,50.29
162,Grand Riz,55,67.27
163,Petit Brocoli,70,54.94
164,Bio Fromage Pack de 1,18,61.91
165,Premium Beurre Pack de 12,65,11.2
166,Grand Tomates en boite,28,51.52
